applicant_id,CPA,weight
STR-04365A,"MISSION BEACH",10
STR-04274A,"MISSION BEACH",8
STR-04210A,"MISSION BEACH",7
STR-04024A,"MISSION BEACH",6
STR-04035A,"MISSION BEACH",6
STR-03949A,"MISSION BEACH",5
STR-04271A,"MISSION BEACH",8
STR-04237A,"MISSION BEACH",8
STR-04326A,"MISSION BEACH",3
STR-04289A,"MISSION BEACH",3
STR-04125A,"MISSION BEACH",10
STR-03981A,"MISSION BEACH",8
STR-03955A,"MISSION BEACH",10
STR-03965A,"MISSION BEACH",9
STR-04254A,"MISSION BEACH",6
STR-04147A,"MISSION BEACH",4
STR-04349A,"MISSION BEACH",8
STR-04303A,"MISSION BEACH",8
STR-04129A,"MISSION BEACH",5
STR-03967A,"MISSION BEACH",9
STR-03906A,"MISSION BEACH",6
STR-03824A,"MISSION BEACH",10
STR-04222A,"MISSION BEACH",10
STR-03972A,"MISSION BEACH",10
STR-04350A,"MISSION BEACH",10
STR-04242A,"MISSION BEACH",7
STR-04133A,"MISSION BEACH",10
STR-03942A,"MISSION BEACH",10
STR-03848A,"MISSION BEACH",6
STR-03729A,"MISSION BEACH",8
STR-04233A,"MISSION BEACH",8
STR-03938A,"MISSION BEACH",3
STR-04300A,"MISSION BEACH",8
STR-04212A,"MISSION BEACH",8
STR-04145A,"MISSION BEACH",9
STR-03907A,"MISSION BEACH",6
STR-03860A,"MISSION BEACH",8
STR-03738A,"MISSION BEACH",10
STR-04205A,"MISSION BEACH",10
STR-03923A,"MISSION BEACH",10
STR-04202A,"MISSION BEACH",6
STR-04179A,"MISSION BEACH",7
STR-04080A,"MISSION BEACH",10
STR-03912A,"MISSION BEACH",8
STR-03861A,"MISSION BEACH",10
STR-03644A,"MISSION BEACH",10
STR-04207A,"MISSION BEACH",10
STR-04140A,"MISSION BEACH",10
STR-04243A,"MISSION BEACH",6
STR-04163A,"MISSION BEACH",8
STR-04061A,"MISSION BEACH",10
STR-03766A,"MISSION BEACH",10
